ortho,phono,class,letters,phonemes,complexity,graphemes,syllabes,frequency,OLD20,Grapheme,Phoneme,Match,Grapheme.1,Phoneme.1,Match.1,orthography,phonology,match,Type,Token,Type.1,Token.1,Type.2,Token.2,Type.3,Token.3,Type.4,Token.4,Type.5,Token.5,type,token,Type.6,Assoc.,Type.7,Assoc..1,Type.8,Assoc..2,Type.9,Assoc..3,Type.10,Token.6,Type.11,Token.7,Type.12,Token.8,Type.13,Token.9,Type.14,Token.10,Type.15,Token.11,Type.16,Token.12,Type.17,Token.13,Type.18,Token.14,Type.19,Token.15,Type.20,Token.16,Type.21,Token.17,phono_IPA
arts,AR,NC,4.0,2.0,2.0,4.0,1.0,18.65863,1.85,.a.r.t.s,.A.R.#.#,(a-A.r-R.t-#.s-#),.a.rts,.A.R,(a-A.rts-R),arts,AR,arts-AR,4.0,37.0,66.667,54.546,5.634,1.493,2634.0,105789.0,16.0,297.0,51.584,52.433,15.924,4.062,4.0,a-A,3.0,a-A,0.393,a-A,1.847,rts-R,4.0,1047.994,3265.0,105875.704,4002.0,210357.889,3.0,93.294,0.0,0.0,29.0,500.675,0.393,3.328,53.429,54.84,99.084,96.724,30.0,7.614,,,1.847,0.51,ɑ ʁ
as,A,"VER,NC,VER",2.0,1.0,2.0,2.0,1.0,954.69995,1.35,.a.s,.A.#,(a-A.s-#),.as,.A,(as-A),as,A,as-A,56.0,6963.0,86.154,98.461,17.555,50.269,2003.0,105703.0,1.0,955.0,49.739,50.026,10.0,77.919,4.0,a-A,1.0,as-A,0.393,a-A,10.0,as-A,4.0,1047.994,0.0,0.0,4002.0,210357.889,1.0,954.7,0.0,0.0,0.0,0.0,0.393,3.328,,,99.084,96.724,10.0,77.919,,,,,ɑ
ascenseur,as@s9R,NC,9.0,6.0,1.5,6.0,3.0,18.65863,3.75,.a.sc.en.s.eu.r,.a.s.@.s.9.R,(a-a.sc-s.en-@.s-s.eu-9.r-R),.a.sc.en.s.eu.r,.a.s.@.s.9.R,(a-a.sc-s.en-@.s-s.eu-9.r-R),eur,9R,eur-9R,153.0,6412.0,100.0,100.0,54.448,59.82,644.0,23120.0,566.0,20481.0,78.385,76.538,49.821,46.104,36.0,sc-s,36.0,sc-s,51.832,s-s,1.404,sc-s,1012.0,30398.147,625.0,18308.077,352.0,35090.703,1012.0,30398.147,505.0,14088.882,364.0,36129.368,99.508,96.524,67.771,65.811,99.717,99.462,99.901,62.317,43.96,44.371,23.185,36.823,a s ɑ̃ s œ ʁ
ascenseurs,as@s9R,NC,10.0,6.0,1.67,7.0,3.0,3.10977,4.2,.a.sc.en.s.eu.r.s,.a.s.@.s.9.R.#,(a-a.sc-s.en-@.s-s.eu-9.r-R.s-#),.a.sc.en.s.eu.rs,.a.s.@.s.9.R,(a-a.sc-s.en-@.s-s.eu-9.rs-R),eurs,9R,eurs-9R,105.0,2945.0,100.0,100.0,37.367,27.473,1962.0,73205.0,537.0,16014.0,81.378,79.498,47.974,41.552,36.0,sc-s,36.0,sc-s,51.832,s-s,1.404,sc-s,1012.0,30398.147,1744.0,54335.394,4002.0,210357.889,1012.0,30398.147,505.0,14088.882,190.0,9332.446,99.508,96.524,74.21,72.647,99.084,96.724,99.901,62.317,43.96,44.371,12.102,9.512,a s ɑ̃ s œ ʁ
asiatique,azjatik,"ADJ,NC",9.0,7.0,1.29,8.0,3.0,3.10977,3.4,.a.s.i.a.t.i.qu.e,.a.z.j.a.t.i.k.°,(a-a.s-z.i-j.a-a.t-t.i-i.qu-k.e-°),.a.s.i.a.t.i.que,.a.z.j.a.t.i.k,(a-a.s-z.i-j.a-a.t-t.i-i.que-k),ique,ik,ique-ik,108.0,4973.0,100.0,100.0,55.102,71.576,2314.0,78068.0,1959.0,54872.0,77.446,75.009,89.91,86.738,523.0,qu-k,155.0,que-k,24.494,i-j,49.206,que-k,1012.0,30398.147,2423.0,70962.178,2962.0,168375.764,1012.0,30398.147,2509.0,68408.447,155.0,11664.766,99.508,96.524,70.01,67.258,100.0,100.0,99.901,62.317,96.053,96.677,49.206,61.462,a z j a t i k
asiatiques,azjatik,"ADJ,NC",10.0,7.0,1.43,9.0,3.0,12.43909,3.6,.a.s.i.a.t.i.qu.e.s,.a.z.j.a.t.i.k.°.#,(a-a.s-z.i-j.a-a.t-t.i-i.qu-k.e-°.s-#),.a.s.i.a.t.i.ques,.a.z.j.a.t.i.k,(a-a.s-z.i-j.a-a.t-t.i-i.ques-k),iques,ik,iques-ik,72.0,1474.0,100.0,100.0,36.735,21.218,2421.0,80580.0,1950.0,53528.0,79.85,77.421,87.053,79.657,523.0,qu-k,92.0,ques-k,24.494,i-j,29.206,ques-k,1012.0,30398.147,2397.0,69209.598,4002.0,210357.889,1012.0,30398.147,2509.0,68408.447,92.0,2257.707,99.508,96.524,74.294,71.935,99.084,96.724,99.901,62.317,96.053,96.677,29.206,11.896,a z j a t i k
aspect,aspE,NC,6.0,4.0,1.5,6.0,2.0,102.62247,2.8,.a.s.p.e.c.t,.a.s.p.E.#.#,(a-a.s-s.p-p.e-E.c-#.t-#),.a.s.p.ect,.a.s.p.E,(a-a.s-s.p-p.ect-E),ect,E,ect-E,3.0,143.0,75.0,97.872,0.441,0.157,1080.0,45693.0,829.0,22653.0,61.776,63.209,56.028,47.042,11.0,c-#,3.0,ect-E,0.609,c-#,0.416,ect-E,1012.0,30398.147,854.0,39299.846,2055.0,86557.658,1012.0,30398.147,1150.0,30035.872,3.0,143.049,99.508,96.524,43.016,46.032,99.084,98.604,99.901,62.317,61.897,62.831,0.416,0.19,a s p ɛ
aspects,aspE,NC,7.0,4.0,1.75,7.0,2.0,68.41498,2.85,.a.s.p.e.c.t.s,.a.s.p.E.#.#.#,(a-a.s-s.p-p.e-E.c-#.t-#.s-#),.a.s.p.ects,.a.s.p.E,(a-a.s-s.p-p.ects-E),ects,E,ects-E,2.0,72.0,100.0,100.0,0.294,0.078,1248.0,58752.0,829.0,22635.0,53.935,55.294,55.993,47.019,11.0,c-#,2.0,ects-E,0.609,c-#,0.277,ects-E,1012.0,30398.147,744.0,34101.225,4002.0,210357.889,1012.0,30398.147,1150.0,30035.872,2.0,71.525,99.508,96.524,35.79,38.763,99.084,96.724,99.901,62.317,61.897,62.831,0.277,0.095,a s p ɛ
asperge,aspERZ,"NC,VER",7.0,6.0,1.17,7.0,2.0,3.10977,2.95,.a.s.p.e.r.g.e,.a.s.p.E.R.Z.°,(a-a.s-s.p-p.e-E.r-R.g-Z.e-°),.a.s.p.e.r.ge,.a.s.p.E.R.Z,(a-a.s-s.p-p.e-E.r-R.ge-Z),erge,ERZ,erge-ERZ,3.0,12.0,100.0,100.0,60.0,44.446,2031.0,81438.0,1678.0,48470.0,75.794,77.166,74.092,69.55,616.0,g-Z,155.0,ge-Z,22.647,e-E,39.587,s-s,1012.0,30398.147,2048.0,74258.5,2962.0,168375.764,1012.0,30398.147,2225.0,63595.119,155.0,6039.191,99.508,96.524,66.211,68.727,100.0,100.0,99.901,62.317,70.785,71.281,61.508,69.856,a s p ɛ ʁ ʒ
asphaltage,asfaltaZ,NC,10.0,8.0,1.25,9.0,3.0,6.21954,4.6,.a.s.ph.a.l.t.a.g.e,.a.s.f.a.l.t.a.Z.°,(a-a.s-s.ph-f.a-a.l-l.t-t.a-a.g-Z.e-°),.a.s.ph.a.l.t.a.ge,.a.s.f.a.l.t.a.Z,(a-a.s-s.ph-f.a-a.l-l.t-t.a-a.ge-Z),age,aZ,age-aZ,83.0,3200.0,98.81,99.324,67.48,66.216,2148.0,70123.0,1824.0,50350.0,86.425,82.819,74.792,71.018,86.0,ph-f,70.0,ph-f,51.832,s-s,11.111,ph-f,1012.0,30398.147,2194.0,61761.671,2962.0,168375.764,1012.0,30398.147,2237.0,61060.127,155.0,6039.191,99.508,96.524,82.617,78.407,100.0,100.0,99.901,62.317,72.821,72.662,61.508,69.856,a s f a l t a ʒ
asphalte,asfalt,"NC,VER",8.0,6.0,1.33,7.0,2.0,3.10977,3.75,.a.s.ph.a.l.t.e,.a.s.f.a.l.t.°,(a-a.s-s.ph-f.a-a.l-l.t-t.e-°),.a.s.ph.a.l.te,.a.s.f.a.l.t,(a-a.s-s.ph-f.a-a.l-l.te-t),alte,alt,alte-alt,1.0,3.0,100.0,100.0,100.0,100.0,2162.0,73808.0,1355.0,38823.0,89.519,85.756,64.224,60.327,86.0,ph-f,70.0,ph-f,51.832,s-s,11.111,ph-f,1012.0,30398.147,2232.0,63576.449,2962.0,168375.764,1012.0,30398.147,1689.0,45924.541,358.0,18839.025,99.508,96.524,85.425,80.754,100.0,100.0,99.901,62.317,60.831,60.213,42.118,58.793,a s f a l t
asphalter,asfalte,VER,9.0,7.0,1.29,7.0,3.0,3.10977,3.8,.a.s.ph.a.l.t.er,.a.s.f.a.l.t.e,(a-a.s-s.ph-f.a-a.l-l.t-t.er-e),.a.s.ph.a.l.t.er,.a.s.f.a.l.t.e,(a-a.s-s.ph-f.a-a.l-l.t-t.er-e),er,e,er-e,632.0,15089.0,98.596,94.232,28.571,26.531,1854.0,52563.0,1665.0,45411.0,89.309,85.039,66.805,62.711,86.0,ph-f,70.0,ph-f,51.832,s-s,11.111,ph-f,1012.0,30398.147,2232.0,63576.449,805.0,19660.067,1012.0,30398.147,1968.0,53563.577,805.0,19660.067,99.508,96.524,85.425,80.754,98.531,94.982,99.901,62.317,67.447,67.306,30.504,40.134,a s f a l t e
aspirant,aspiR@,"ADJ,NC,VER",8.0,6.0,1.33,7.0,3.0,3.10977,2.9,.a.s.p.i.r.an.t,.a.s.p.i.R.@.#,(a-a.s-s.p-p.i-i.r-R.an-@.t-#),.a.s.p.i.r.ant,.a.s.p.i.R.@,(a-a.s-s.p-p.i-i.r-R.ant-@),ant,@,ant-@,298.0,7768.0,100.0,100.0,34.571,14.148,2429.0,77750.0,2078.0,55446.0,88.77,85.807,75.51,66.702,1012.0,a-a,331.0,ant-@,51.832,s-s,36.254,ant-@,1012.0,30398.147,2787.0,85458.746,2055.0,86557.658,1012.0,30398.147,2781.0,73547.235,331.0,8088.567,99.508,96.524,84.56,81.105,99.084,98.604,99.901,62.317,79.226,79.655,36.254,19.274,a s p i ʁ ɑ̃
aspirateur,aspiRat9R,"ADJ,NC",10.0,9.0,1.11,9.0,4.0,3.10977,3.8,.a.s.p.i.r.a.t.eu.r,.a.s.p.i.R.a.t.9.R,(a-a.s-s.p-p.i-i.r-R.a-a.t-t.eu-9.r-R),.a.s.p.i.r.a.t.eu.r,.a.s.p.i.R.a.t.9.R,(a-a.s-s.p-p.i-i.r-R.a-a.t-t.eu-9.r-R),eur,9R,eur-9R,153.0,6412.0,100.0,100.0,54.448,59.82,2446.0,75371.0,2174.0,62174.0,84.733,80.97,80.502,78.565,352.0,r-R,364.0,r-R,51.832,s-s,23.185,r-R,1012.0,30398.147,2950.0,87550.215,352.0,35090.703,1012.0,30398.147,2598.0,70433.993,364.0,36129.368,99.508,96.524,80.481,76.106,99.717,99.462,99.901,62.317,85.919,86.849,23.185,36.823,a s p i ʁ a t œ ʁ
aspirer,aspiRe,VER,7.0,6.0,1.17,6.0,3.0,3.10977,2.7,.a.s.p.i.r.er,.a.s.p.i.R.e,(a-a.s-s.p-p.i-i.r-R.er-e),.a.s.p.i.r.er,.a.s.p.i.R.e,(a-a.s-s.p-p.i-i.r-R.er-e),er,e,er-e,632.0,15089.0,98.596,94.232,28.571,26.531,2455.0,72986.0,2157.0,57375.0,86.823,82.84,74.551,70.178,805.0,er-e,805.0,er-e,51.832,s-s,30.504,er-e,1012.0,30398.147,3229.0,96963.867,805.0,19660.067,1012.0,30398.147,2781.0,73547.235,805.0,19660.067,99.508,96.524,80.724,76.383,98.531,94.982,99.901,62.317,79.226,79.655,30.504,40.134,a s p i ʁ e
assaut,aso,NC,6.0,3.0,2.0,4.0,2.0,3.10977,2.7,.a.ss.au.t,.a.s.o.#,(a-a.ss-s.au-o.t-#),.a.ss.aut,.a.s.o,(a-a.ss-s.aut-o),aut,o,aut-o,9.0,1210.0,100.0,100.0,3.502,4.698,992.0,34336.0,520.0,14318.0,97.256,96.991,41.395,29.148,189.0,au-o,9.0,aut-o,90.431,au-o,3.261,aut-o,1012.0,30398.147,450.0,10193.89,2055.0,86557.658,1012.0,30398.147,539.0,11347.636,9.0,1209.703,99.508,96.524,95.216,96.418,99.084,98.604,99.901,62.317,21.022,17.844,3.261,7.283,a s o
assemblage,as@blaZ,NC,10.0,7.0,1.43,8.0,3.0,3.10977,3.45,.a.ss.em.b.l.a.g.e,.a.s.@.b.l.a.Z.°,(a-a.ss-s.em-@.b-b.l-l.a-a.g-Z.e-°),.a.ss.em.b.l.a.ge,.a.s.@.b.l.a.Z,(a-a.ss-s.em-@.b-b.l-l.a-a.ge-Z),age,aZ,age-aZ,83.0,3200.0,98.81,99.324,67.48,66.216,1556.0,54881.0,1175.0,33332.0,93.07,91.937,68.931,65.247,101.0,em-@,98.0,em-@,59.632,g-Z,7.591,em-@,1012.0,30398.147,1413.0,40046.264,2962.0,168375.764,1012.0,30398.147,1412.0,39377.975,155.0,6039.191,99.508,96.524,90.842,89.829,100.0,100.0,99.901,62.317,64.221,64.912,61.508,69.856,a s ɑ̃ b l a ʒ
assemble,as@bl,VER,8.0,5.0,1.6,6.0,2.0,12.43909,2.15,.a.ss.em.b.l.e,.a.s.@.b.l.°,(a-a.ss-s.em-@.b-b.l-l.e-°),.a.ss.em.b.le,.a.s.@.b.l,(a-a.ss-s.em-@.b-b.le-l),emble,@bl,emble-@bl,6.0,656.0,100.0,100.0,46.154,81.783,1376.0,54100.0,541.0,16207.0,98.894,98.402,52.874,43.024,101.0,em-@,98.0,em-@,94.041,b-b,7.591,em-@,1012.0,30398.147,1070.0,31457.035,2962.0,168375.764,1012.0,30398.147,463.0,12996.837,307.0,11646.13,99.508,96.524,98.464,98.473,100.0,100.0,99.901,62.317,42.827,43.337,35.991,22.791,a s ɑ̃ b l
assemblé,as@ble,"VER,ADJ",8.0,6.0,1.33,6.0,3.0,6.21954,2.6,.a.ss.em.b.l.é,.a.s.@.b.l.e,(a-a.ss-s.em-@.b-b.l-l.é-e),.a.ss.em.b.l.é,.a.s.@.b.l.e,(a-a.ss-s.em-@.b-b.l-l.é-e),é,e,é-e,638.0,12194.0,100.0,100.0,28.843,21.44,999.0,28204.0,866.0,23623.0,98.894,98.402,57.999,52.328,101.0,em-@,98.0,em-@,94.041,b-b,7.591,em-@,1012.0,30398.147,1070.0,31457.035,704.0,12995.844,1012.0,30398.147,870.0,24586.749,704.0,12995.844,99.508,96.524,98.464,98.473,100.0,100.0,99.901,62.317,55.353,56.28,26.677,26.53,a s ɑ̃ b l e
assemblée,as@ble,"VER,NC",9.0,6.0,1.5,7.0,3.0,77.7443,2.6,.a.ss.em.b.l.é.e,.a.s.@.b.l.e.#,(a-a.ss-s.em-@.b-b.l-l.é-e.e-#),.a.ss.em.b.l.ée,.a.s.@.b.l.e,(a-a.ss-s.em-@.b-b.l-l.ée-e),ée,e,ée-e,303.0,4428.0,100.0,100.0,13.698,7.787,1233.0,32161.0,805.0,22253.0,87.116,84.908,55.687,49.529,101.0,em-@,98.0,em-@,16.592,e-#,7.591,em-@,1012.0,30398.147,1406.0,36174.297,591.0,13854.118,1012.0,30398.147,870.0,24586.749,338.0,4770.442,99.508,96.524,98.742,98.593,16.592,4.866,99.901,62.317,55.353,56.28,12.808,9.738,a s ɑ̃ b l e
assemblées,as@ble,"VER,NC",10.0,6.0,1.67,8.0,3.0,3.10977,2.95,.a.ss.em.b.l.é.e.s,.a.s.@.b.l.e.#.#,(a-a.ss-s.em-@.b-b.l-l.é-e.e-#.s-#),.a.ss.em.b.l.ées,.a.s.@.b.l.e,(a-a.ss-s.em-@.b-b.l-l.ées-e),ées,e,ées-e,207.0,2590.0,100.0,100.0,9.358,4.555,1550.0,53365.0,787.0,21936.0,87.555,86.147,55.011,48.884,101.0,em-@,98.0,em-@,8.14,e-#,7.591,em-@,1012.0,30398.147,1232.0,31027.395,4002.0,210357.889,1012.0,30398.147,870.0,24586.749,231.0,2873.463,99.508,96.524,83.642,82.655,99.084,96.724,99.901,62.317,55.353,56.28,8.753,5.866,a s ɑ̃ b l e
assemblent,as@bl,VER,10.0,5.0,2.0,7.0,2.0,6.21954,2.85,.a.ss.em.b.l.en.t,.a.s.@.b.l.°.#,(a-a.ss-s.em-@.b-b.l-l.en-°.t-#),.a.ss.em.b.lent,.a.s.@.b.l,(a-a.ss-s.em-@.b-b.lent-l),emblent,@bl,emblent-@bl,5.0,121.0,100.0,100.0,38.462,15.116,1065.0,34812.0,487.0,14003.0,85.488,84.42,46.52,38.71,101.0,em-@,36.0,lent-l,5.969,en-°,4.22,lent-l,1012.0,30398.147,878.0,25345.998,2055.0,86557.658,1012.0,30398.147,463.0,12996.837,36.0,625.069,99.508,96.524,79.965,79.162,99.084,98.604,99.901,62.317,42.827,43.337,4.22,1.223,a s ɑ̃ b l
assembler,as@ble,VER,9.0,6.0,1.5,6.0,3.0,9.32932,2.4,.a.ss.em.b.l.er,.a.s.@.b.l.e,(a-a.ss-s.em-@.b-b.l-l.er-e),.a.ss.em.b.l.er,.a.s.@.b.l.e,(a-a.ss-s.em-@.b-b.l-l.er-e),er,e,er-e,632.0,15089.0,98.596,94.232,28.571,26.531,1016.0,29314.0,883.0,24734.0,98.649,97.566,58.636,54.595,101.0,em-@,98.0,em-@,94.041,b-b,7.591,em-@,1012.0,30398.147,1070.0,31457.035,805.0,19660.067,1012.0,30398.147,870.0,24586.749,805.0,19660.067,99.508,96.524,98.464,98.473,98.531,94.982,99.901,62.317,55.353,56.28,30.504,40.134,a s ɑ̃ b l e
assemblés,as@ble,"VER,ADJ",9.0,6.0,1.5,7.0,3.0,6.21954,2.75,.a.ss.em.b.l.é.s,.a.s.@.b.l.e.#,(a-a.ss-s.em-@.b-b.l-l.é-e.s-#),.a.ss.em.b.l.és,.a.s.@.b.l.e,(a-a.ss-s.em-@.b-b.l-l.és-e),és,e,és-e,339.0,4764.0,100.0,100.0,15.325,8.377,1721.0,60233.0,812.0,22336.0,98.9,98.031,55.952,49.698,101.0,em-@,98.0,em-@,94.041,b-b,7.591,em-@,1012.0,30398.147,1406.0,36174.297,4002.0,210357.889,1012.0,30398.147,870.0,24586.749,380.0,5268.017,99.508,96.524,98.742,98.593,99.084,96.724,99.901,62.317,55.353,56.28,14.399,10.754,a s ɑ̃ b l e
asseoir,aswaR,VER,7.0,5.0,1.4,5.0,2.0,24.87817,3.0,.a.ss.e.oi.r,.a.s.#.wa.R,(a-a.ss-s.e-#.oi-wa.r-R),.a.ss.e.oi.r,.a.s.#.wa.R,(a-a.ss-s.e-#.oi-wa.r-R),oir,waR,oir-waR,11.0,1132.0,33.333,49.189,24.444,45.844,537.0,20144.0,423.0,17097.0,76.592,75.989,48.599,43.355,254.0,oi-wa,23.0,e-#,8.14,e-#,0.0,e-#,1012.0,30398.147,441.0,11743.591,352.0,35090.703,1012.0,30398.147,247.0,6319.089,364.0,36129.368,99.508,96.524,61.245,61.32,99.717,99.462,99.901,62.317,39.97,39.212,23.185,36.823,a s w a ʁ
asseyez,asEje,VER,7.0,5.0,1.4,4.0,3.0,3.10977,3.4,.a.ss.ey.ez,.a.s.Ej.e,(a-a.ss-s.ey-Ej.ez-e),.a.ss.ey.ez,.a.s.Ej.e,(a-a.ss-s.ey-Ej.ez-e),yez,je,yez-je,4.0,25.0,100.0,100.0,1.09,0.339,458.0,11609.0,415.0,10769.0,91.544,92.881,32.254,21.175,2.0,ey-Ej,2.0,ey-Ej,66.667,ey-Ej,4.0,ey-Ej,1012.0,30398.147,357.0,7357.768,108.0,1321.669,1012.0,30398.147,271.0,5678.483,108.0,1321.669,99.508,96.524,83.334,87.5,100.0,100.0,99.901,62.317,12.511,9.843,4.092,2.698,a s ɛ j e
assez,ase,ADV,5.0,3.0,1.67,3.0,2.0,143.0495,2.0,.a.ss.ez,.a.s.e,(a-a.ss-s.ez-e),.a.ss.ez,.a.s.e,(a-a.ss-s.ez-e),ez,e,ez-e,79.0,1191.0,100.0,100.0,3.571,2.094,610.0,15475.0,553.0,14356.0,99.836,98.841,41.672,27.62,108.0,ez-e,108.0,ez-e,99.508,a-a,4.092,ez-e,1012.0,30398.147,711.0,14706.206,108.0,1321.669,1012.0,30398.147,539.0,11347.636,108.0,1321.669,99.508,96.524,100.0,100.0,100.0,100.0,99.901,62.317,21.022,17.844,4.092,2.698,a s e
assied,asje,VER,6.0,4.0,1.5,5.0,2.0,3.10977,2.7,.a.ss.i.e.d,.a.s.j.e.#,(a-a.ss-s.i-j.e-e.d-#),.a.ss.i.ed,.a.s.j.e,(a-a.ss-s.i-j.ed-e),ied,je,ied-je,2.0,112.0,100.0,100.0,0.545,1.527,648.0,19079.0,742.0,21611.0,64.164,63.803,54.201,44.619,23.0,e-e,2.0,ed-e,0.523,e-e,0.076,ed-e,1012.0,30398.147,717.0,19903.665,78.0,5283.505,1012.0,30398.147,978.0,27966.301,2.0,111.952,99.508,96.524,41.672,42.185,96.296,95.934,99.901,62.317,58.414,57.964,0.076,0.229,a s j e
assieds,asje,VER,7.0,4.0,1.75,6.0,2.0,9.32932,2.85,.a.ss.i.e.d.s,.a.s.j.e.#.#,(a-a.ss-s.i-j.e-e.d-#.s-#),.a.ss.i.eds,.a.s.j.e,(a-a.ss-s.i-j.eds-e),ieds,je,ieds-je,2.0,162.0,100.0,100.0,0.545,2.205,1202.0,50340.0,742.0,21623.0,54.553,54.08,54.201,44.644,23.0,e-e,2.0,eds-e,0.523,e-e,0.076,eds-e,1012.0,30398.147,549.0,15320.359,4002.0,210357.889,1012.0,30398.147,978.0,27966.301,2.0,161.708,99.508,96.524,32.182,32.807,99.084,96.724,99.901,62.317,58.414,57.964,0.076,0.33,a s j e
assiégée,asjeZe,"VER,ADJ,NC",8.0,6.0,1.33,7.0,3.0,3.10977,3.7,.a.ss.i.é.g.é.e,.a.s.j.e.Z.e.#,(a-a.ss-s.i-j.é-e.g-Z.é-e.e-#),.a.ss.i.é.g.ée,.a.s.j.e.Z.e,(a-a.ss-s.i-j.é-e.g-Z.ée-e),ée,e,ée-e,303.0,4428.0,100.0,100.0,13.698,7.787,1407.0,32798.0,912.0,23420.0,71.419,69.423,66.065,56.459,591.0,e-#,338.0,ée-e,16.592,e-#,12.808,ée-e,1012.0,30398.147,1649.0,37066.838,591.0,13854.118,1012.0,30398.147,1030.0,26337.57,338.0,4770.442,99.508,96.524,76.767,76.914,16.592,4.866,99.901,62.317,70.92,66.674,12.808,9.738,a s j e ʒ e
assiette,asjEt,NC,8.0,5.0,1.6,6.0,2.0,34.20749,3.0,.a.ss.i.e[CC].tt.e,.a.s.j.E.t.°,(a-a.ss-s.i-j.e[CC]-E.tt-t.e-°),.a.ss.i.e.tte,.a.s.j.E.t,(a-a.ss-s.i-j.e-E.tte-t),iette,jEt,iette-jEt,3.0,50.0,100.0,100.0,25.0,26.666,1165.0,47115.0,925.0,29190.0,85.331,85.207,58.144,50.484,315.0,tt-t,92.0,tte-t,24.494,i-j,10.824,tte-t,1012.0,30398.147,753.0,20978.616,2962.0,168375.764,1012.0,30398.147,1173.0,37386.862,92.0,3392.775,99.508,96.524,78.119,78.68,100.0,100.0,99.901,62.317,59.998,59.839,10.824,10.588,a s j ɛ t
assiettes,asjEt,NC,9.0,5.0,1.8,7.0,2.0,18.65863,3.6,.a.ss.i.e[CC].tt.e.s,.a.s.j.E.t.°.#,(a-a.ss-s.i-j.e[CC]-E.tt-t.e-°.s-#),.a.ss.i.e.ttes,.a.s.j.E.t,(a-a.ss-s.i-j.e-E.ttes-t),iettes,jEt,iettes-jEt,3.0,59.0,100.0,100.0,25.0,31.667,1466.0,54766.0,917.0,28680.0,87.295,86.853,57.202,48.891,315.0,tt-t,52.0,ttes-t,24.494,i-j,6.118,ttes-t,1012.0,30398.147,1050.0,28521.716,4002.0,210357.889,1012.0,30398.147,1173.0,37386.862,52.0,839.643,99.508,96.524,82.495,82.944,99.084,96.724,99.901,62.317,59.998,59.839,6.118,2.62,a s j ɛ t
assimiler,asimile,VER,9.0,7.0,1.29,7.0,4.0,3.10977,3.65,.a.ss.i.m.i.l.er,.a.s.i.m.i.l.e,(a-a.ss-s.i-i.m-m.i-i.l-l.er-e),.a.ss.i.m.i.l.er,.a.s.i.m.i.l.e,(a-a.ss-s.i-i.m-m.i-i.l-l.er-e),er,e,er-e,632.0,15089.0,98.596,94.232,28.571,26.531,2164.0,61568.0,1891.0,49123.0,92.258,90.944,75.538,71.255,711.0,ss-s,539.0,ss-s,74.122,i-i,21.022,ss-s,1012.0,30398.147,2667.0,76184.146,805.0,19660.067,1012.0,30398.147,2284.0,58760.674,805.0,19660.067,99.508,96.524,89.554,89.021,98.531,94.982,99.901,62.317,79.672,79.267,30.504,40.134,a s i m i l e
assis,asi,"VER,ADJ",5.0,3.0,1.67,4.0,2.0,31.09772,1.85,.a.ss.i.s,.a.s.i.#,(a-a.ss-s.i-i.s-#),.a.ss.is,.a.s.i,(a-a.ss-s.is-i),is,i,is-i,97.0,8297.0,95.098,98.632,17.415,21.56,2503.0,94708.0,553.0,17487.0,93.179,91.52,46.068,34.583,711.0,ss-s,108.0,is-i,74.122,i-i,17.28,is-i,1012.0,30398.147,2498.0,69037.25,4002.0,210357.889,1012.0,30398.147,539.0,11347.636,108.0,10716.285,99.508,96.524,87.061,86.416,99.084,96.724,99.901,62.317,21.022,17.844,17.28,23.587,a s i
assise,asiz,"VER,ADJ,NC",6.0,4.0,1.5,5.0,2.0,27.98795,2.4,.a.ss.i.s.e,.a.s.i.z.°,(a-a.ss-s.i-i.s-z.e-°),.a.ss.i.se,.a.s.i.z,(a-a.ss-s.i-i.se-z),ise,iz,ise-iz,43.0,1909.0,100.0,100.0,48.315,70.656,1991.0,73049.0,1376.0,35920.0,84.33,81.912,67.637,58.986,711.0,ss-s,166.0,se-z,48.021,s-z,21.022,ss-s,1012.0,30398.147,1993.0,55491.018,2962.0,168375.764,1012.0,30398.147,2163.0,53692.043,166.0,5896.151,99.508,96.524,74.048,71.012,100.0,100.0,99.901,62.317,58.975,57.464,52.698,58.7,a s i z
assistance,asist@s,NC,10.0,7.0,1.43,8.0,3.0,3.10977,3.55,.a.ss.i.s.t.an.c.e,.a.s.i.s.t.@.s.°,(a-a.ss-s.i-i.s-s.t-t.an-@.c-s.e-°),.a.ss.i.s.t.an.ce,.a.s.i.s.t.@.s,(a-a.ss-s.i-i.s-s.t-t.an-@.ce-s),ance,@s,ance-@s,29.0,896.0,100.0,100.0,26.606,30.094,1940.0,66914.0,1451.0,38333.0,81.147,78.586,60.862,54.997,711.0,ss-s,145.0,ce-s,39.889,c-s,21.022,ss-s,1012.0,30398.147,1925.0,56090.157,2962.0,168375.764,1012.0,30398.147,1800.0,46115.658,145.0,7357.728,99.508,96.524,74.944,72.028,100.0,100.0,99.901,62.317,59.197,58.219,30.146,31.568,a s i s t ɑ̃ s
assistant,asist@,"NC,VER",9.0,6.0,1.5,7.0,3.0,3.10977,2.9,.a.ss.i.s.t.an.t,.a.s.i.s.t.@.#,(a-a.ss-s.i-i.s-s.t-t.an-@.t-#),.a.ss.i.s.t.ant,.a.s.i.s.t.@,(a-a.ss-s.i-i.s-s.t-t.ant-@),ant,@,ant-@,298.0,7768.0,100.0,100.0,34.571,14.148,1985.0,61746.0,1628.0,42470.0,86.91,83.869,64.6,55.207,711.0,ss-s,331.0,ant-@,51.832,s-s,21.022,ss-s,1012.0,30398.147,2166.0,63052.761,2055.0,86557.658,1012.0,30398.147,2106.0,54083.865,331.0,8088.567,99.508,96.524,81.955,78.391,99.084,98.604,99.901,62.317,62.861,62.413,36.254,19.274,a s i s t ɑ̃
