Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy,Word_IPA
clad,4,7,876,6.775,0.200,1.041,0.120,1.041,8,14,14,5,5,7.8,7.429,7.429,7.444,7.444,6,8.5,2,6.0,0.86,1.500,8.086,1.150,7.479,2.960,0.486,0,1.673,10.170,2.115,#,#,#,3,3,13,10,"3,649","1,216.333","1,083","kl""ad",4,1,{clad},"{kl""ad}",1,VB|JJ,629.500,-0.469,186.876,24,0.73,607.148,-0.472,119.575,27,0.964, k l æ d 
claim,5,98,"56,597",10.944,25.390,3.113,10.560,2.948,1,5,5,0,0,6.5,7.928,7.928,#,#,0,#,1,6.5,1.68,1.850,7.497,1.550,8.462,2.960,0.676,"8,303",1.970,9.050,1.583,5.150,3.900,6.060,50,32,167,105,"4,403","1,100.750","1,079","kl""em",4,1,{claim},"{kl""em}",1,NN|VB,588.485,-0.732,200.209,33,0.97,671.464,-0.217,124.125,28,1.0, k l eɪ m 
claimant,8,8,183,5.209,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.900,6.398,2.450,6.774,3.360,0.470,0,1.266,#,#,#,#,#,1,1,4,4,"12,584","1,797.714","1,928","kl""em.@nt",7,2,{claim}>ant>,"{kl""em}.>@nt>",2,NN,"1,091.364",0.630,555.876,11,0.33,740.812,0.225,187.972,16,0.667, k l eɪ m ə n t 
claimants,9,5,187,5.231,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.450,6.423,2.700,7.030,#,0.445,0,1.187,#,#,#,#,#,#,#,#,#,"13,590","1,698.750","2,035","kl""em.@nts",8,2,{claim}>ant>>s>,"{kl""em}.>@nt>>s>",3,NN,819.455,0.213,196.314,11,0.35,808.857,0.494,208.263,14,0.7, k l eɪ m ə n t s 
claimed,7,35,"18,853",9.844,7.290,2.572,3.850,2.510,0,4,4,0,0,#,8.646,8.646,#,#,#,#,#,#,#,2.000,6.332,1.750,7.314,#,0.683,"8,508",2.043,9.050,#,#,#,#,1,1,5,5,"10,629","1,771.500","2,086","kl""emd",5,1,{claim}>ed>,"{kl""em}>d>",2,VB,664.281,-0.585,258.254,32,0.97,613.963,-0.447,81.604,27,1.0, k l eɪ m d 
claiming,8,16,"11,561",9.355,4.160,2.328,2.270,2.281,0,3,3,0,0,#,8.441,8.441,#,#,#,#,#,#,#,2.150,6.841,1.900,7.362,#,0.653,"7,018",2.026,9.050,#,#,#,#,3,3,3,3,"16,589","2,369.857","2,972","kl""em.IN",6,2,{claim}>ing>,"{kl""em}.>IN>",2,VB,670.971,-0.431,287.132,34,0.97,649.808,-0.413,137.616,26,0.963, k l eɪ m ɪ ŋ 
claims,6,74,"33,803",10.428,13.920,2.852,6.560,2.741,0,5,5,0,0,#,7.600,7.6,#,#,#,#,#,#,#,1.900,6.912,1.750,7.886,#,0.682,"8,623",1.920,9.050,#,#,#,#,5,5,14,13,"4,600",920.000,"1,100","kl""emz",5,1,{claim}>s>,"{kl""em}>z>",2,NN|VB,627.471,-0.658,282.575,34,1.0,586.407,-0.58,88.487,27,1.0, k l eɪ m z 
Clair,5,2,665,6.5,0.920,1.681,0.240,1.322,3,6,14,1,1,9.8,7.328,7.314,8.519,8.519,3,9.8,0,#,0.67,1.700,7.981,1.500,8.146,#,0.550,6,#,#,#,#,#,#,1,1,1,1,"4,326","1,081.500","1,119","kl""Er",4,1,{clair},"{kl""Er}",1,NN,740.464,-0.162,266.285,28,0.88,650.692,-0.367,131.542,26,1.0, k l ɛɹ 
Claire,6,16,"2,285",7.734,30.430,3.191,2.540,2.330,0,6,14,0,0,#,7.328,7.159,#,#,#,#,#,#,#,1.900,7.570,1.500,8.146,#,0.605,"3,386",#,#,#,#,#,#,3,3,14,13,"8,868","1,773.600","1,481","kl""Er",4,1,{claire},"{kl""Er}",1,NN,660.633,-0.363,221.521,30,0.94,643.815,-0.271,169.583,27,0.964, k l ɛɹ 
clairvoyance,12,1,267,5.587,0.200,1.041,0.110,1.000,0,1,1,0,0,#,5.030,5.03,#,#,#,#,#,#,#,5.400,6.529,4.650,7.084,1.690,0.333,0,#,13.060,#,#,#,#,2,2,7,7,"11,565","1,051.364","1,425","klEr.v""OI@ns",9,2,{clairvoy--ance},"{klEr.v""OI--@ns}",2,NN,943.000,0.680,255.019,23,0.68,905.522,0.676,248.789,23,1.0, k l ɛɹ v ɔɪ ə n s 
clairvoyant,11,1,153,5.03,0.710,1.568,0.380,1.518,0,1,1,0,0,#,5.587,5.587,#,#,#,#,#,#,#,5.200,5.926,4.700,7.026,2.310,0.274,0,#,12.330,#,5.790,5.350,5.500,7,6,25,13,"11,553","1,155.300","1,476","klEr.v""OI@nt",9,2,{clairvoy--ant},"{klEr.v""OI--@nt}",2,JJ|NN,883.188,0.644,288.604,16,0.48,965.478,0.804,344.592,23,0.92, k l ɛɹ v ɔɪ ə n t 
clam,4,3,768,6.644,3.920,2.303,1.880,2.201,7,12,12,5,5,7.8,7.610,7.61,7.489,7.489,7,7.8,0,#,0.85,1.450,7.860,1.150,7.711,4.890,0.425,0,1.641,7.370,4.375,4.700,3.360,5.320,128,26,246,51,"3,543","1,181.000","1,066","kl""am",4,1,{clam},"{kl""am}",1,NN|VB,635.125,-0.568,270.051,32,0.94,657.955,-0.318,294.889,22,0.88, k l æ m 
clambake,8,#,78,4.357,0.470,1.398,0.240,1.322,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.750,6.163,3.900,5.305,3.620,0.181,0,#,12.380,4.040,4.600,4.170,5.400,2,1,3,1,"5,979",854.143,"1,292","""klam%bek",7,2,#,,#,NN,864.471,0.256,262.337,17,0.53,821.125,0.216,216.791,24,0.923, k l æ m b eɪ k 
clamber,7,#,38,3.638,0.040,0.477,0.020,0.477,1,0,0,0,0,8.8,#,0.0,#,#,1,8.8,0,#,0.41,2.100,6.665,1.950,5.404,#,0.178,0,1.547,11.400,#,#,#,#,#,#,4,3,"10,993","1,832.167","2,154","kl""am.b@`",6,2,{clamber},"{kl""am.b@`}",1,VB,649.286,-0.411,328.389,14,0.42,718.048,-0.014,212.385,21,0.724, k l æ m b ɚ 
clambered,9,6,63,4.143,0.080,0.699,0.050,0.699,1,0,0,0,0,5.3,#,0.0,#,#,1,5.3,0,#,0.79,2.600,5.495,2.400,4.708,#,0.190,0,1.382,11.400,#,#,#,#,#,#,#,#,"20,020","2,502.500","2,998","kl""am.b@`d",7,2,{clamber}>ed>,"{kl""am.b@`}>d>",2,VB,890.810,0.182,479.657,21,0.6,785.550,0.21,260.250,20,0.769, k l æ m b ɚ d 
clambering,10,1,29,3.367,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.850,5.322,2.750,4.871,#,0.203,0,1.616,#,#,#,#,#,#,#,#,#,"24,681","2,742.333","3,431","kl""am.b@`.IN",8,3,{clamber}>ing>,"{kl""am.b@`}.>IN>",2,VB,933.000,0.448,381.932,17,0.53,824.808,0.474,169.098,26,0.929, k l æ m b ɚ ɹ ɪ ŋ 
clammy,6,#,79,4.369,0.590,1.491,0.330,1.462,0,4,4,0,0,#,6.455,6.455,#,#,#,#,#,#,#,2.250,6.956,1.800,6.766,3.030,0.184,0,1.295,10.580,1.708,3.810,2.950,3.450,5,5,28,20,"4,025",805.000,"1,137","kl""a.mi",5,2,{clamm--y},"{kl""a.m--i}",2,JJ,689.929,-0.115,165.263,28,0.82,698.692,-0.021,192.108,26,1.0, k l æ m i 
clamor,6,2,213,5.361,0.140,0.903,0.060,0.778,1,6,6,1,1,4.4,5.356,5.356,4.369,4.369,0,#,1,4.4,1.23,2.250,7.247,1.700,5.691,2.800,0.223,0,#,11.630,1.857,#,#,#,1,1,9,9,"7,261","1,452.200","1,553","kl""a.m@`",5,2,{clamor},"{kl""a.m@`}",1,NN|VB,784.350,0.156,249.049,20,0.61,724.080,-0.158,199.175,25,0.962, k l æ m ɚ 
clamored,8,1,53,3.97,0.020,0.301,0.010,0.301,0,2,2,0,0,#,2.943,2.943,#,#,#,#,#,#,#,2.700,6.031,1.800,4.488,#,0.173,0,#,11.630,#,#,#,#,#,#,1,1,"16,288","2,326.857","2,726","kl""a.m@`d",6,2,{clamor}>ed>,"{kl""a.m@`}>d>",2,VB,868.962,0.264,428.903,26,0.76,677.583,-0.147,122.540,24,0.889, k l æ m ɚ d 
clamoring,9,1,263,5.572,0.610,1.505,0.310,1.431,0,2,2,0,0,#,4.836,4.836,#,#,#,#,#,#,#,2.850,5.901,2.400,4.994,#,0.191,0,#,11.630,#,#,#,#,#,#,1,1,"20,949","2,618.625","3,360","kl""a.m@`.IN",7,3,{clamor}>ing>,"{kl""a.m@`}.>IN>",2,VB,764.286,0.083,228.201,21,0.64,691.923,-0.114,190.853,26,0.929, k l æ m ɚ ɹ ɪ ŋ 
clamorous,9,1,20,2.996,#,#,#,#,1,1,1,1,1,5.9,5.919,5.919,5.919,5.919,1,5.9,0,#,0.51,3.200,5.594,2.650,4.966,#,0.176,0,#,#,#,#,#,#,1,1,4,3,"12,547","1,568.375","2,050","kl""a.m@`.@s",7,3,{clamor}>ous>,"{kl""a.m@`}.>@s>",2,JJ,767.706,0.008,196.571,17,0.53,819.696,0.404,202.472,23,0.92, k l æ m ɚ ɹ ə s 
clamors,7,1,10,2.303,0.040,0.477,0.020,0.477,0,1,1,0,0,#,3.970,3.97,#,#,#,#,#,#,#,2.500,7.010,1.900,5.466,#,0.256,0,#,11.630,#,#,#,#,#,#,#,#,"8,730","1,455.000","1,867","kl""a.m@`z",6,2,{clamor}>s>,"{kl""a.m@`}>z>",2,VB|NN,742.650,-0.181,212.692,20,0.62,723.593,0.006,289.674,27,0.964, k l æ m ɚ z 
clamp,5,#,"1,610",7.384,6.860,2.545,1.900,2.204,5,6,6,4,4,6.5,5.721,5.721,6.149,6.149,1,7.8,4,6.1,1.14,1.500,7.345,1.450,6.936,4.530,0.441,0,1.684,10.890,5.360,4.600,5.050,4.580,8,7,26,20,"4,421","1,105.250","1,183","kl""amp",5,1,{clamp},"{kl""amp}",1,VB|NN,616.647,-0.464,213.767,34,0.97,607.259,-0.402,105.345,27,1.0, k l æ m p 
clampdown,9,#,28,3.332,0.040,0.477,0.020,0.477,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.800,5.579,4.350,5.340,3.120,0.251,0,1.503,13.000,#,#,#,#,#,#,#,#,"5,872",734.000,"1,304","kl""amp.d%aUn",8,2,{clamp}{down},"{kl""amp}.{d%aUn}",2,NN,827.607,0.246,345.972,28,0.88,765.400,0.144,145.608,25,0.926, k l æ m p d aʊ n 
clamped,7,8,689,6.535,0.610,1.505,0.320,1.447,2,2,2,1,1,5.6,6.313,6.313,5.864,5.864,0,#,2,5.6,1.16,1.850,6.034,1.750,6.317,#,0.318,0,1.496,10.890,#,#,#,#,#,#,1,1,"10,569","1,761.500","2,208","kl""ampt",6,1,{clamp}>ed>,"{kl""amp}>t>",2,VB,784.344,-0.234,330.971,32,1.0,686.821,-0.263,215.084,28,1.0, k l æ m p t 
clamping,8,3,441,6.089,0.180,1.000,0.100,0.954,2,2,2,1,1,5.6,5.327,5.327,5.081,5.081,1,6.2,1,5.1,1.08,2.000,6.616,2.000,6.503,#,0.345,0,1.452,10.890,#,#,#,#,#,#,#,#,"16,056","2,293.714","3,066","kl""amp.IN",7,2,{clamp}>ing>,"{kl""amp}.>IN>",2,VB,715.679,-0.115,169.935,28,0.93,679.400,-0.232,125.529,25,1.0, k l æ m p ɪ ŋ 
clamps,6,6,865,6.763,1.080,1.748,0.410,1.544,3,3,3,2,2,6.6,6.336,6.336,6.236,6.236,1,7.3,2,6.2,1.02,1.600,7.071,1.650,6.938,#,0.365,0,1.493,10.890,#,#,#,#,#,#,2,2,"4,727",945.400,"1,236","kl""amps",6,1,{clamp}>s>,"{kl""amp}>s>",2,NN|VB,692.606,-0.317,193.168,33,0.97,633.815,-0.443,124.510,27,1.0, k l æ m p s 
clams,5,2,675,6.515,2.710,2.143,1.140,1.987,5,6,6,1,1,7.8,6.576,6.576,7.384,7.384,4,8.5,1,4.8,0.84,1.550,7.347,1.600,7.171,#,0.438,0,1.011,7.370,#,#,#,#,25,14,62,30,"3,740",935.000,"1,121","kl""amz",5,1,{clam}>s>,"{kl""am}>z>",2,NN|VB,655.125,-0.513,224.605,32,0.97,694.708,-0.258,154.861,24,0.889, k l æ m z 
clamshell,9,1,53,3.97,0.060,0.602,0.040,0.602,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.900,6.555,3.800,4.790,4.820,0.306,0,#,8.110,4.348,#,#,#,#,#,3,3,"10,135","1,266.875","1,657","kl""am.S%El",7,2,{clam}{shell},"{kl""am}.{S%El}",2,NN,866.321,0.347,217.937,28,0.82,709.417,0.038,161.617,24,0.923, k l æ m ʃ ɛ l 
clan,4,2,"4,149",8.331,4.100,2.322,1.490,2.100,8,12,12,5,5,8.0,7.990,7.99,7.252,7.252,3,10.3,5,6.6,1.05,1.400,8.244,1.300,8.699,3.460,0.613,"4,242",1.472,11.050,3.160,5.200,3.780,4.350,16,10,53,33,"6,081","2,027.000","1,375","kl""an",4,1,{clan},"{kl""an}",1,NN,857.071,0.171,489.882,28,0.85,668.037,-0.235,149.756,27,1.0, k l æ n 
clandestine,11,1,910,6.813,0.880,1.663,0.490,1.623,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.400,5.724,4.800,5.659,#,0.553,1,1.730,13.280,#,5.670,3.950,4.330,6,6,36,30,"32,445","3,244.500","3,859","klan.d""E.stIn",10,3,{clandestine},"{klan.d""E.stIn}",1,JJ,718.722,0.058,196.331,18,0.55,895.176,0.578,406.720,17,0.739, k l æ n d ɛ s t ɪ n 
clang,5,1,275,5.617,0.840,1.643,0.360,1.491,4,10,10,3,3,6.3,7.398,7.398,6.951,6.951,3,7.0,1,4.5,0.89,1.750,7.747,1.400,7.239,3.960,0.194,0,1.419,9.530,1.846,4.100,4.610,5.350,11,7,42,20,"10,000","2,500.000","1,507","kl""aN",4,1,{clang},"{kl""aN}",1,NN|VB,739.640,-0.223,366.151,25,0.74,656.536,-0.363,163.084,28,1.0, k l æ ŋ 
clanged,7,1,14,2.639,0.020,0.301,0.010,0.301,1,1,1,0,0,10.8,4.477,4.477,#,#,1,10.8,0,#,0.24,1.950,6.853,1.750,6.991,#,0.261,0,#,9.530,#,#,#,#,#,#,#,#,"15,696","2,616.000","2,511","kl""aNd",5,1,{clang}>ed>,"{kl""aN}>d>",2,VB,832.167,0.143,250.290,18,0.51,674.750,-0.056,163.946,20,0.769, k l æ ŋ d 
clank,5,#,88,4.477,0.310,1.230,0.140,1.114,8,6,6,5,5,7.0,6.415,6.415,7.170,7.170,8,7.0,0,#,0.64,1.500,7.844,1.550,6.637,2.840,0.354,0,#,6.950,1.478,#,#,#,5,1,11,5,"6,367","1,591.750","1,486","kl""aNk",5,1,{clank},"{kl""aNk}",1,NN|VB,746.286,0.030,242.055,28,0.82,610.375,-0.432,125.603,24,1.0, k l æ ŋ k 
clanking,8,1,68,4.22,1.080,1.748,0.450,1.591,2,2,2,2,2,5.0,4.991,4.991,4.991,4.991,1,6.0,1,4.0,0.85,1.900,6.764,1.900,6.280,3.780,0.176,0,1.509,6.950,1.870,#,#,#,1,1,2,2,"17,607","2,515.286","3,306","kl""aNk.IN",7,2,{clank}>ing>,"{kl""aNk}.>IN>",2,VB,716.077,-0.241,267.988,26,0.79,647.348,-0.241,136.926,23,0.92, k l æ ŋ k ɪ ŋ 
clannish,8,1,17,2.833,0.100,0.778,0.060,0.778,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.000,6.078,2.000,7.383,#,0.167,0,#,13.290,#,#,#,#,1,1,2,2,"12,019","1,717.000","2,087","kl""an.IS",6,2,{clan}>ish>,"{kl""an}.>IS>",2,JJ,969.733,0.707,300.661,15,0.45,729.182,0.081,154.611,22,0.88, k l æ n ɪ ʃ 
clannishness,12,1,9,2.197,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.700,4.365,3.450,5.248,#,0.282,0,#,#,#,#,#,#,#,#,#,#,"20,406","1,855.091","2,485","kl""an.IS.n@s",9,3,{clan}>ish>>ness>,"{kl""an}.>IS>.>n@s>",3,NN,"1,059.571",1.127,458.631,7,0.22,"1,033.273",1.475,277.033,11,0.55, k l æ n ɪ ʃ n ə s 
clansman,8,#,24,3.178,0.060,0.602,0.020,0.477,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.000,4.709,3.200,6.268,3.520,0.199,0,#,12.190,#,#,#,#,#,#,#,#,"13,626","1,946.571","2,211","kl""anz.m@n",8,2,{clan}>s>>man>,"{kl""an}>z>.>m@n>",3,NN,"1,015.450",0.624,431.593,20,0.59,736.815,0.005,191.439,27,0.964, k l æ n z m ə n 
clap,4,1,932,6.837,4.730,2.384,1.810,2.185,11,12,12,8,8,7.6,7.449,7.449,7.404,7.404,8,8.4,3,5.6,0.90,1.200,7.951,1.100,7.354,4.160,0.375,0,1.638,3.400,4.040,6.050,5.150,6.190,150,29,239,56,"3,471","1,157.000","1,016","kl""ap",4,1,{clap},"{kl""ap}",1,VB|NN,612.235,-0.576,259.086,34,1.0,626.385,-0.478,193.479,26,1.0, k l æ p 
clapboard,9,#,19,2.944,0.040,0.477,0.020,0.477,1,1,1,1,1,7.6,7.589,7.589,7.589,7.589,1,7.6,0,#,0.39,3.300,5.124,3.300,5.086,#,0.404,0,#,11.390,#,#,#,#,#,#,2,2,"8,265","1,033.125","1,490","kl""ap.b%Ord",8,2,{clap}{board},"{kl""ap}.{b%Ord}",2,NN,715.222,-0.094,193.478,27,0.79,724.692,-0.127,223.153,26,1.0, k l æ p b ɔːɹ d 
clapped,7,4,221,5.398,0.510,1.431,0.230,1.301,7,7,7,4,4,5.8,5.803,5.803,5.988,5.988,4,6.8,3,4.4,0.93,1.550,6.291,1.400,6.566,3.880,0.224,0,1.505,3.400,3.500,#,#,#,#,#,#,#,"10,125","1,687.500","2,168","kl""apt",5,1,{clap}>ed>,"{kl""ap}>t>",2,VB,619.697,-0.650,156.143,33,0.97,641.333,-0.433,91.406,27,0.964, k l æ p t 
clapper,7,#,136,4.913,0.390,1.322,0.190,1.230,3,6,6,3,3,6.1,5.537,5.537,6.143,6.143,2,6.9,1,4.7,0.80,1.850,6.051,1.800,6.204,3.920,0.265,0,#,9.250,#,5.160,4.450,5.260,1,1,4,4,"11,802","1,967.000","2,288","kl""ap.@`",5,2,{clap}>er>,"{kl""ap}.>@`>",2,NN,700.806,-0.261,203.774,31,0.94,683.481,-0.36,164.085,27,1.0, k l æ p ɚ 
clapperboard,12,#,2,0.693,0.080,0.699,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.750,5.378,4.950,4.716,#,0.202,0,#,12.330,#,#,#,#,#,#,#,#,"16,841","1,531.000","2,354","""klap@%bord",9,3,#,,#,NN,992.800,0.812,373.259,20,0.69,812.821,0.379,219.659,28,1.0, k l æ p ɚ b ɔːɹ d 
clapping,8,6,484,6.182,2.040,2.021,0.940,1.903,4,2,2,2,2,6.0,6.362,6.362,6.362,6.362,1,6.9,3,5.7,1.03,1.750,6.250,1.750,6.721,4.320,0.334,0,1.477,3.400,4.000,#,#,#,30,7,70,22,"15,612","2,230.286","3,026","kl""ap.IN",6,2,{clap}>ing>,"{kl""ap}.>IN>",2,VB,657.848,-0.423,236.724,33,0.97,617.630,-0.452,128.610,27,0.964, k l æ p ɪ ŋ 
claps,5,2,127,4.844,0.450,1.380,0.180,1.204,8,6,6,3,3,7.6,6.130,6.13,7.235,7.235,8,7.6,0,#,0.63,1.400,7.493,1.350,7.316,#,0.270,0,#,3.400,#,#,#,#,1,1,3,3,"3,777",944.250,"1,101","kl""aps",5,1,{clap}>s>,"{kl""ap}>s>",2,VB|NN,700.100,-0.415,361.169,30,0.94,586.440,-0.608,81.377,25,0.893, k l æ p s 
claptrap,8,#,280,5.635,0.270,1.176,0.150,1.146,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.850,6.278,4.150,4.758,#,0.188,0,#,12.400,#,#,#,#,#,#,2,2,"9,505","1,357.857","1,616","kl""ap.tr%ap",8,2,{clap}{trap},"{kl""ap}.{tr%ap}",2,NN,689.182,-0.116,162.644,11,0.39,820.920,0.143,267.849,25,0.962, k l æ p t ɹ æ p 
Clara,5,3,"8,010",8.988,#,#,#,#,2,0,0,0,0,8.2,#,0.0,#,#,1,9.5,1,6.8,1.10,1.900,7.731,1.850,7.600,#,0.587,"2,215",#,#,#,#,#,#,#,#,5,4,"8,673","2,168.250","1,656","kl""E.r@",5,2,{clara},"{kl""E.r@}",1,NN,694.067,-0.258,200.480,30,0.91,632.750,-0.392,78.510,24,0.923, k l ɑːɹ ɹ ə 
Clare,5,1,903,6.806,2.490,2.107,0.250,1.342,5,6,14,3,3,7.5,7.328,7.275,6.371,6.371,4,8.4,1,3.9,0.90,1.650,8.010,1.500,8.146,#,0.583,"1,730",#,#,#,#,#,#,#,#,2,2,"10,105","2,526.250","1,853","kl""Er",4,1,{clare},"{kl""Er}",1,NN,842.077,0.045,307.875,26,0.81,686.704,-0.182,191.414,27,0.964, k l ɛɹ 
Clarence,8,8,"1,663",7.416,8.590,2.643,1.180,2.000,0,1,1,0,0,#,8.487,8.487,#,#,#,#,#,#,#,2.750,7.277,2.400,8.010,#,0.589,"2,012",#,#,#,#,#,#,1,1,1,1,"16,951","2,421.571","2,786","kl""a.r@ns",7,2,{clarence},"{kl""a.r@ns}",1,NN,692.143,-0.215,176.296,28,0.9,770.815,0.139,206.228,27,1.0, k l æ ɹ ə n s 
clarification,13,5,"2,736",7.914,0.590,1.491,0.330,1.462,0,1,1,0,0,#,8.267,8.267,#,#,#,#,#,#,#,3.300,5.993,3.250,6.331,1.930,0.426,0,1.827,12.060,#,6.060,3.250,5.640,#,#,#,#,"29,907","2,492.250","3,410","kl%a.r@.f@.k""e.Sn=",11,5,{clar--ify}>ation>,"{kl%a.r--@.f@$}.>k""e.Sn=>",3,NN,716.324,-0.149,179.569,34,0.97,749.036,0.005,164.869,28,1.0, k l æ ɹ ɪ f ɪ k eɪ ʃ ə n 
clarified,9,8,"1,304",7.173,0.310,1.230,0.180,1.204,1,2,2,1,1,6.1,7.428,7.428,6.116,6.116,0,#,1,6.1,1.17,2.750,7.157,2.600,6.644,#,0.502,0,2.105,11.240,#,#,#,#,#,#,3,3,"15,478","1,934.750","2,752","kl""a.r@.faId",8,3,{clar--ify}>ed>,"{kl""a.r--@.faI}>d>",3,VB,763.559,-0.063,323.451,34,1.0,667.852,-0.368,124.232,27,1.0, k l æ ɹ ᵻ f aɪ d 
clarifies,9,1,453,6.116,0.020,0.301,0.010,0.301,1,1,1,1,1,7.2,7.173,7.173,7.173,7.173,1,7.2,0,#,0.85,2.900,6.806,2.650,5.330,#,0.325,0,#,11.240,#,#,#,#,#,#,#,#,"15,482","1,935.250","2,552","kl""a.r@.faIz",8,3,{clar--ify}>s>,"{kl""a.r--@.faI}>z>",3,VB,863.781,0.199,372.087,32,0.94,678.296,-0.195,152.244,27,1.0, k l æ ɹ ᵻ f aɪ z 
clarify,7,13,"5,776",8.661,2.240,2.061,1.280,2.033,1,1,1,0,0,8.0,7.438,7.438,#,#,0,#,1,8.0,1.08,2.700,6.409,2.550,5.848,2.070,0.513,0,1.922,11.240,#,6.000,2.850,6.040,43,18,101,47,"9,054","1,509.000","1,914","kl""a.r@.faI",7,3,{clar--ify},"{kl""a.r--@.faI}",2,VB|NN,637.367,-0.542,171.235,30,0.97,635.286,-0.371,120.014,28,1.0, k l æ ɹ ᵻ f aɪ 
clarifying,10,3,779,6.658,0.180,1.000,0.110,1.000,0,1,1,0,0,#,5.835,5.835,#,#,#,#,#,#,#,3.300,6.136,3.400,6.229,#,0.392,0,1.736,11.240,#,#,#,#,1,1,4,4,"20,012","2,223.556","2,953","kl""a.r@.f%aI.IN",9,4,{clar--ify}>ing>,"{kl""a.r--@.f%aI}.>IN>",3,VB|NN|JJ,761.706,-0.096,334.318,34,1.0,659.586,-0.206,101.815,29,1.0, k l æ ɹ ᵻ f aɪ ɪ ŋ 
clarinet,8,1,"1,634",7.399,1.570,1.909,0.430,1.568,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.950,6.480,3.650,6.481,4.920,0.573,23,0.723,9.220,5.923,4.740,3.060,5.060,73,18,182,38,"18,961","2,708.714","3,237","kl%a.r@.n""Et",8,3,{clarinet},"{kl%a.r@.n""Et}",1,NN,802.355,-0.055,236.811,31,0.94,741.292,-0.058,195.293,24,0.96, k l æ ɹ ə n ɛ t 
clarity,7,28,"3,068",8.029,2.100,2.033,1.160,1.991,2,0,0,0,0,8.7,#,0.0,#,#,2,8.7,0,#,0.92,2.400,6.983,2.500,6.958,2.000,0.557,162,1.843,10.550,#,7.260,3.640,6.590,29,23,134,91,"11,316","1,886.000","2,071","kl""a.r@.4i",7,3,{clar--ity},"{kl""a.r--@.4i}",2,NN,695.412,-0.330,236.182,34,0.97,645.385,-0.336,126.079,26,0.963, k l æ ɹ ᵻ ɾ i 
Clark,5,35,"13,918",9.541,19.800,3.005,3.150,2.423,5,1,1,0,0,6.6,8.143,8.143,#,#,0,#,5,6.6,1.45,1.700,7.879,1.850,7.874,#,0.660,"7,395",#,#,#,#,#,#,3,2,14,7,"5,833","1,458.250","1,344","kl""Ark",5,1,{clark},"{kl""Ark}",1,NN,629.788,-0.501,164.355,33,0.97,578.519,-0.611,93.437,27,1.0, k l ɑːɹ k 
Clark's,7,1,620,6.43,#,#,#,#,1,0,0,0,0,4.5,#,0.0,#,#,0,#,1,4.5,1.42,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"6,879","1,146.500","1,519","kl""Arks",6,1,{clark}>'s>,"{kl""Ark}>s>",2,encl,674.176,-0.380,217.175,34,1.0,591.111,-0.465,97.520,27,1.0, k l ɑːɹ k s 
clash,5,5,"4,179",8.338,1.330,1.839,0.700,1.778,5,11,11,4,4,9.0,7.509,7.509,9.781,9.781,3,10.4,2,7.0,0.92,1.650,7.497,1.300,7.926,2.630,0.580,"1,891",1.569,8.950,1.640,3.960,5.670,4.320,25,13,70,44,"5,345","1,336.250","1,283","kl""aS",4,1,{clash},"{kl""aS}",1,NN|VB,584.758,-0.531,148.222,33,1.0,608.111,-0.522,64.959,27,1.0, k l æ ʃ 
