,,grammatical,number of,number of,graphemic,number of,number of,EQOL,Levenstein,Grapheme-Phoneme segmentation,,,Phoneme-Grapheme segmentation,,,Rime segmentation,,,Rime match frequency,,Ortho-Phono rime consistency,,Phono-Ortho rime consistency,,G-Ph frequency,,Ph-G frequency,,G-Ph consistency,,Ph-G consistency,,Least frequent G-Ph,,Least frequent Ph-G,,Least consistent G-Ph,,Least consistent Ph-G,,Frequency initial G-Ph,,Mean frequency internal G-Ph,,Frequency final G-Ph,,Frequency initial Ph-G,,Mean frequency internal Ph-G,,Frequency final Ph-G,,Consistency initial G-Ph,,Mean consistency internal G-Ph,,Consistency final G-Ph,,Consistency initial Ph-G,,Mean Consistencyinternal Ph-G,,Consistency final Ph-G,
apparut,apaRy,VER,7,5,1.4,6,3,6.21954,2.6,.a.pp.a.r.u.t,.a.p.a.R.y.#,(a-a.pp-p.a-a.r-R.u-y.t-#),.a.pp.a.r.ut,.a.p.a.R.y,(a-a.pp-p.a-a.r-R.ut-y),ut,y,ut-y,17,578,85,78.151,6.273,2.875,2402,76827,1968,54297,95.065,92.634,62.927,54.018,209,pp-p,17,ut-y,80.266,u-y,6.343,ut-y,1012,30398.147,2836,86001.87,2055,86557.658,1012,30398.147,2936,80170.287,17,578.422,99.508,96.524,92.949,90.17,99.084,98.604,99.901,62.317,69.464,68.29,6.343,2.904
appel,apEl,NC,5,4,1.25,4,2,24.87817,2.2,.a.pp.e.l,.a.p.E.l,(a-a.pp-p.e-E.l-l),.a.pp.e.l,.a.p.E.l,(a-a.pp-p.e-E.l-l),el,El,el-El,27,2407,100,100,18.75,18.49,589,36337,727,27611,79.84,86.725,47.97,43.616,139,l-l,139,l-l,22.647,e-E,12.516,pp-p,1012,30398.147,603,47509.614,139,19930.536,1012,30398.147,878,30057.612,139,19930.536,99.508,96.524,61.324,75.42,97.203,99.534,99.901,62.317,37.841,36.572,16.295,39.003
appelaient,aplE,VER,10,4,2.5,7,2,6.21954,3.15,.a.pp.e.l.ai.en.t,.a.p.°.l.E.#.#,(a-a.pp-p.e-°.l-l.ai-E.en-#.t-#),.a.pp.e.l.aient,.a.p.°.l.E,(a-a.pp-p.e-°.l-l.aient-E),aient,E,aient-E,118,958,100,100,17.327,1.051,1391,42425,816,21104,90.403,88.856,64.533,53.656,209,pp-p,125,aient-E,35.269,en-#,12.516,pp-p,1012,30398.147,1334,36003.242,2055,86557.658,1012,30398.147,981,24714.524,125,979.601,99.508,96.524,86.845,85.372,99.084,98.604,99.901,62.317,68.483,68.22,17.313,1.3
appelait,aplE,VER,8,4,2,6,2,15.54886,2.75,.a.pp.e.l.ai.t,.a.p.°.l.E.#,(a-a.pp-p.e-°.l-l.ai-E.t-#),.a.pp.e.l.ait,.a.p.°.l.E,(a-a.pp-p.e-°.l-l.ait-E),ait,E,ait-E,265,5815,100,100,38.913,6.38,1514,47309,848,22093,99.592,99.006,69.02,54.969,209,pp-p,191,pp-p,99.084,t-#,12.516,pp-p,1012,30398.147,1505,41724.78,2055,86557.658,1012,30398.147,981,24714.524,287,5924.17,99.508,96.524,99.739,99.727,99.084,98.604,99.901,62.317,68.483,68.22,39.751,7.865
appelé,aple,"VER,NC",6,4,1.5,5,2,68.41498,2.25,.a.pp.e.l.é,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.é-e),.a.pp.e.l.é,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,1368,37286,932,23508,99.864,99.235,66.405,58.702,209,pp-p,191,pp-p,99.508,a-a,12.516,pp-p,1012,30398.147,1708,47679.237,704,12995.844,1012,30398.147,981,24714.524,704,12995.844,99.508,96.524,99.938,99.884,100,100,99.901,62.317,68.483,68.22,26.677,26.53
appelée,aple,VER,7,4,1.75,6,2,62.19544,2.3,.a.pp.e.l.é.e,.a.p.°.l.e.#,(a-a.pp-p.e-°.l-l.é-e.e-#),.a.pp.e.l.ée,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.ée-e),ée,e,ée-e,303,4428,100,100,13.698,7.787,1580,40389,858,21862,85.962,83.353,63.632,55.343,209,pp-p,191,pp-p,16.592,e-#,12.516,pp-p,1012,30398.147,1969,49520.264,591,13854.118,1012,30398.147,981,24714.524,338,4770.442,99.508,96.524,99.917,99.682,16.592,4.866,99.901,62.317,68.483,68.22,12.808,9.738
appelées,aple,VER,8,4,2,7,2,40.42703,2.45,.a.pp.e.l.é.e.s,.a.p.°.l.e.#.#,(a-a.pp-p.e-°.l-l.é-e.e-#.s-#),.a.pp.e.l.ées,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.ées-e),ées,e,ées-e,207,2590,100,100,9.358,4.555,1893,63447,837,21483,86.629,84.991,62.821,54.569,209,pp-p,191,pp-p,8.14,e-#,8.753,ées-e,1012,30398.147,1647,40674.788,4002,210357.889,1012,30398.147,981,24714.524,231,2873.463,99.508,96.524,81.562,80.338,99.084,96.724,99.901,62.317,68.483,68.22,8.753,5.866
appeler,aple,VER,7,4,1.75,5,2,31.09772,2.3,.a.pp.e.l.er,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.er-e),.a.pp.e.l.er,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,1388,38619,952,24840,99.571,98.232,67.171,61.422,209,pp-p,191,pp-p,98.531,er-e,12.516,pp-p,1012,30398.147,1708,47679.237,805,19660.067,1012,30398.147,981,24714.524,805,19660.067,99.508,96.524,99.938,99.884,98.531,94.982,99.901,62.317,68.483,68.22,30.504,40.134
appelés,aple,"VER,NC",7,4,1.75,6,2,55.97589,2.35,.a.pp.e.l.é.s,.a.p.°.l.e.#,(a-a.pp-p.e-°.l-l.é-e.s-#),.a.pp.e.l.és,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.és-e),és,e,és-e,339,4764,100,100,15.325,8.377,2149,73140,867,21962,99.71,98.663,63.95,55.546,209,pp-p,191,pp-p,99.084,s-#,12.516,pp-p,1012,30398.147,1969,49520.264,4002,210357.889,1012,30398.147,981,24714.524,380,5268.017,99.508,96.524,99.917,99.682,99.084,96.724,99.901,62.317,68.483,68.22,14.399,10.754
appelez,aple,VER,7,4,1.75,5,2,3.10977,2.35,.a.pp.e.l.ez,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.ez-e),.a.pp.e.l.ez,.a.p.°.l.e,(a-a.pp-p.e-°.l-l.ez-e),ez,e,ez-e,79,1191,100,100,3.571,2.094,1249,34952,812,21173,99.864,99.235,61.888,53.935,108,ez-e,108,ez-e,99.508,a-a,4.092,ez-e,1012,30398.147,1708,47679.237,108,1321.669,1012,30398.147,981,24714.524,108,1321.669,99.508,96.524,99.938,99.884,100,100,99.901,62.317,68.483,68.22,4.092,2.698
appelle,apEl,VER,7,4,1.75,5,2,407.38011,2.25,.a.pp.e[CC].ll.e,.a.p.E.l.°,(a-a.pp-p.e[CC]-E.ll-l.e-°),.a.pp.e.lle,.a.p.E.l,(a-a.pp-p.e-E.lle-l),elle,El,elle-El,46,7162,100,100,31.944,55.017,1007,46722,709,24557,97.498,96.985,45.947,37.64,209,pp-p,70,lle-l,87.982,e[CC]-E,8.206,lle-l,1012,30398.147,354,11611.93,2962,168375.764,1012,30398.147,878,30057.612,70,7715.35,99.508,96.524,95.994,96.133,100,100,99.901,62.317,37.841,36.572,8.206,15.099
appellent,apEl,VER,9,4,2.25,6,2,21.7684,3,.a.pp.e[CC].ll.en.t,.a.p.E.l.#.#,(a-a.pp-p.e[CC]-E.ll-l.en-#.t-#),.a.pp.e.llent,.a.p.E.l,(a-a.pp-p.e-E.llent-l),ellent,El,ellent-El,3,34,100,100,2.083,0.263,797,27485,693,22657,86.974,85.247,44.072,33.921,209,pp-p,6,llent-l,35.269,en-#,0.703,llent-l,1012,30398.147,428,11988.22,2055,86557.658,1012,30398.147,878,30057.612,6,115.063,99.508,96.524,80.813,79.088,99.084,98.604,99.901,62.317,37.841,36.572,0.703,0.225
appellerais,apElRE,VER,11,6,1.83,8,3,3.10977,4.55,.a.pp.e[CC].ll.e.r.ai.s,.a.p.E.l.°.R.E.#,(a-a.pp-p.e[CC]-E.ll-l.e-°.r-R.ai-E.s-#),.a.pp.e.ll.e.r.ais,.a.p.E.l.°.R.E,(a-a.pp-p.e-E.ll-l.e-°.r-R.ais-E),ais,E,ais-E,110,5218,100,100,16.153,5.725,1929,69574,1248,35398,98.211,97.612,56.355,49.026,209,pp-p,113,ais-E,87.982,e[CC]-E,7.067,ll-l,1012,30398.147,1736,52639.33,4002,210357.889,1012,30398.147,1522,42429.926,113,5239.983,99.508,96.524,97.849,97.942,99.084,96.724,99.901,62.317,55.786,54.782,15.651,6.956
appels,apEl,NC,6,4,1.5,5,2,6.21954,2.2,.a.pp.e.l.s,.a.p.E.l.#,(a-a.pp-p.e-E.l-l.s-#),.a.pp.e.ls,.a.p.E.l,(a-a.pp-p.e-E.ls-l),els,El,els-El,20,647,100,100,13.889,4.969,1779,83190,704,23718,84.211,88.748,45.273,35.997,209,pp-p,47,ls-l,22.647,e-E,5.51,ls-l,1012,30398.147,1294,58397.532,4002,210357.889,1012,30398.147,878,30057.612,47,4356.798,99.508,96.524,74.154,83.497,99.084,96.724,99.901,62.317,37.841,36.572,5.51,8.526
appendice,ap5dis,NC,9,6,1.5,7,3,3.10977,3.9,.a.pp.en.d.i.c.e,.a.p.5.d.i.s.°,(a-a.pp-p.en-5.d-d.i-i.c-s.e-°),.a.pp.en.d.i.ce,.a.p.5.d.i.s,(a-a.pp-p.en-5.d-d.i-i.ce-s),ice,is,ice-is,31,442,100,100,32.979,23.279,1499,54745,1028,26929,73.465,73.22,58.692,50.99,82,en-5,22,en-5,4.449,en-5,12.516,pp-p,1012,30398.147,1303,36887.652,2962,168375.764,1012,30398.147,1252,30954.828,145,7357.728,99.508,96.524,62.95,63.204,100,100,99.901,62.317,55.527,53.013,30.146,31.568
appétit,apeti,NC,7,5,1.4,6,3,15.54886,3.3,.a.pp.é.t.i.t,.a.p.e.t.i.#,(a-a.pp-p.é-e.t-t.i-i.t-#),.a.pp.é.t.it,.a.p.e.t.i,(a-a.pp-p.é-e.t-t.it-i),it,i,it-i,80,4201,97.561,99.852,14.363,10.917,2344,68309,1237,33190,92.748,91.221,63.273,54.921,209,pp-p,99,it-i,74.122,i-i,12.516,pp-p,1012,30398.147,2750,73224.594,2055,86557.658,1012,30398.147,1692,43371.169,99,5439.002,99.508,96.524,89.474,88.05,99.084,98.604,99.901,62.317,66.874,66.772,15.84,11.971
appétits,apeti,NC,8,5,1.6,7,3,3.10977,3.6,.a.pp.é.t.i.t.s,.a.p.e.t.i.#.#,(a-a.pp-p.é-e.t-t.i-i.t-#.s-#),.a.pp.é.t.its,.a.p.e.t.i,(a-a.pp-p.é-e.t-t.its-i),its,i,its-i,12,718,100,100,2.154,1.867,2331,78137,1223,32438,80.482,79.305,61.033,53.264,209,pp-p,29,its-i,6.889,t-#,4.64,its-i,1012,30398.147,2261,61241.024,4002,210357.889,1012,30398.147,1692,43371.169,29,1676.17,99.508,96.524,72.957,72.377,99.084,96.724,99.901,62.317,66.874,66.772,4.64,3.689
applaudir,aplodiR,VER,9,7,1.29,7,3,3.10977,3.95,.a.pp.l.au.d.i.r,.a.p.l.o.d.i.R,(a-a.pp-p.l-l.au-o.d-d.i-i.r-R),.a.pp.l.au.d.i.r,.a.p.l.o.d.i.R,(a-a.pp-p.l-l.au-o.d-d.i-i.r-R),ir,iR,ir-iR,91,3396,100,100,65.468,59.542,1421,44417,1226,35971,94.269,93.805,65.495,60.982,189,au-o,131,au-o,74.122,i-i,12.516,pp-p,1012,30398.147,1716,49085.476,352,35090.703,1012,30398.147,1442,37053.737,364,36129.368,99.508,96.524,92.131,92.129,99.717,99.462,99.901,62.317,67.075,65.546,23.185,36.823
applaudis,aplodi,VER,9,6,1.5,7,3,3.10977,3.65,.a.pp.l.au.d.i.s,.a.p.l.o.d.i.#,(a-a.pp-p.l-l.au-o.d-d.i-i.s-#),.a.pp.l.au.d.is,.a.p.l.o.d.i,(a-a.pp-p.l-l.au-o.d-d.is-i),is,i,is-i,97,8297,95.098,98.632,17.415,21.56,1942,69455,757,21724,94.178,93.413,59.272,52.759,189,au-o,108,is-i,74.122,i-i,12.516,pp-p,1012,30398.147,1716,49085.476,4002,210357.889,1012,30398.147,856,22308.059,108,10716.285,99.508,96.524,92.131,92.129,99.084,96.724,99.901,62.317,59.612,57.662,17.28,23.587
applaudissements,aplodism@,NC,16,9,1.78,12,4,6.21954,6.15,.a.pp.l.au.d.i.ss.e.m.en.t.s,.a.p.l.o.d.i.s.°.m.@.#.#,(a-a.pp-p.l-l.au-o.d-d.i-i.ss-s.e-°.m-m.en-@.t-#.s-#),.a.pp.l.au.d.i.ss.e.m.ents,.a.p.l.o.d.i.s.°.m.@,(a-a.pp-p.l-l.au-o.d-d.i-i.ss-s.e-°.m-m.ents-@),ents,@,ents-@,84,2926,100,100,9.745,5.33,1602,53459,1073,27201,85.009,85.486,65.693,60.443,189,au-o,92,ents-@,6.889,t-#,10.077,ents-@,1012,30398.147,1421,40075.184,4002,210357.889,1012,30398.147,1203,29817.815,92,3072.466,99.508,96.524,82.152,83.259,99.084,96.724,99.901,62.317,68.369,66.849,10.077,7.321
applaudissent,aplodis,VER,13,7,1.86,9,3,3.10977,4.55,.a.pp.l.au.d.i.ss.en.t,.a.p.l.o.d.i.s.#.#,(a-a.pp-p.l-l.au-o.d-d.i-i.ss-s.en-#.t-#),.a.pp.l.au.d.i.ssent,.a.p.l.o.d.i.s,(a-a.pp-p.l-l.au-o.d-d.i-i.ssent-s),issent,is,issent-is,32,330,100,100,34.043,17.377,1445,43356,1182,30914,88.28,87.081,63.875,56.171,189,au-o,57,ssent-s,35.269,en-#,11.85,ssent-s,1012,30398.147,1420,39035.811,2055,86557.658,1012,30398.147,1442,37053.737,57,733.913,99.508,96.524,85.132,84.086,99.084,98.604,99.901,62.317,67.075,65.546,11.85,3.149
applaudissons,aplodis§,VER,13,8,1.63,9,4,3.10977,5.6,.a.pp.l.au.d.i.ss.on.s,.a.p.l.o.d.i.s.§.#,(a-a.pp-p.l-l.au-o.d-d.i-i.ss-s.on-§.s-#),.a.pp.l.au.d.i.ss.ons,.a.p.l.o.d.i.s.§,(a-a.pp-p.l-l.au-o.d-d.i-i.ss-s.ons-§),ons,§,ons-§,178,3340,100,100,44.389,9.443,1700,59287,1137,29393,95.428,94.786,62.017,53.257,189,au-o,131,au-o,74.122,i-i,12.516,pp-p,1012,30398.147,1470,41831.946,4002,210357.889,1012,30398.147,1291,32769.387,333,8128.987,99.508,96.524,94.322,94.261,99.084,96.724,99.901,62.317,59.4,57.596,39.833,18.162
applaudit,aplodi,VER,9,6,1.5,7,3,12.43909,3.55,.a.pp.l.au.d.i.t,.a.p.l.o.d.i.#,(a-a.pp-p.l-l.au-o.d-d.i-i.t-#),.a.pp.l.au.d.it,.a.p.l.o.d.i,(a-a.pp-p.l-l.au-o.d-d.it-i),it,i,it-i,80,4201,97.561,99.852,14.363,10.917,1664,51769,756,20845,94.178,93.682,59.032,50.823,189,au-o,99,it-i,74.122,i-i,12.516,pp-p,1012,30398.147,1716,49085.476,2055,86557.658,1012,30398.147,856,22308.059,99,5439.002,99.508,96.524,92.131,92.129,99.084,98.604,99.901,62.317,59.612,57.662,15.84,11.971
application,aplikasj§,NC,11,9,1.22,9,4,49.75635,3.6,.a.pp.l.i.c.a.t.i.on,.a.p.l.i.k.a.s.j.§,(a-a.pp-p.l-l.i-i.c-k.a-a.t-s.i-j.on-§),.a.pp.l.i.c.a.t.i.on,.a.p.l.i.k.a.s.j.§,(a-a.pp-p.l-l.i-i.c-k.a-a.t-s.i-j.on-§),ion,j§,ion-j§,269,11985,99.63,99.974,61.982,71.028,1674,50074,1550,44634,72.994,72.097,70.602,68.494,209,pp-p,191,pp-p,9.193,t-s,12.516,pp-p,1012,30398.147,1950,56521.23,408,24620.095,1012,30398.147,1790,49527.334,408,24620.095,99.508,96.524,65.487,64.652,99.029,99.786,99.901,62.317,69.53,71.304,48.804,55.006
applications,aplikasj§,NC,12,9,1.33,10,4,3.10977,4.15,.a.pp.l.i.c.a.t.i.on.s,.a.p.l.i.k.a.s.j.§.#,(a-a.pp-p.l-l.i-i.c-k.a-a.t-s.i-j.on-§.s-#),.a.pp.l.i.c.a.t.i.ons,.a.p.l.i.k.a.s.j.§,(a-a.pp-p.l-l.i-i.c-k.a-a.t-s.i-j.ons-§),ions,j§,ions-j§,142,4512,100,100,32.719,26.742,1966,66909,1541,42802,75.66,74.499,69.605,64.401,209,pp-p,191,pp-p,9.193,t-s,12.516,pp-p,1012,30398.147,1831,53542.33,4002,210357.889,1012,30398.147,1790,49527.334,333,8128.987,99.508,96.524,69.751,68.968,99.084,96.724,99.901,62.317,69.53,71.304,39.833,18.162
appliquait,aplikE,VER,10,6,1.67,7,3,3.10977,3.55,.a.pp.l.i.qu.ai.t,.a.p.l.i.k.E.#,(a-a.pp-p.l-l.i-i.qu-k.ai-E.t-#),.a.pp.l.i.qu.ait,.a.p.l.i.k.E,(a-a.pp-p.l-l.i-i.qu-k.ait-E),ait,E,ait-E,265,5815,100,100,38.913,6.38,1665,52734,1271,33631,95.659,95.111,60.004,47.962,209,pp-p,191,pp-p,74.122,i-i,12.516,pp-p,1012,30398.147,1718,50436.985,2055,86557.658,1012,30398.147,1582,41365.608,287,5924.17,99.508,96.524,94.204,94.13,99.084,98.604,99.901,62.317,55.093,54.398,39.751,7.865
appliquant,aplik@,VER,10,6,1.67,7,3,6.21954,3.45,.a.pp.l.i.qu.an.t,.a.p.l.i.k.@.#,(a-a.pp-p.l-l.i-i.qu-k.an-@.t-#),.a.pp.l.i.qu.ant,.a.p.l.i.k.@,(a-a.pp-p.l-l.i-i.qu-k.ant-@),ant,@,ant-@,298,7768,100,100,34.571,14.148,1683,54960,1279,33992,95.767,95.216,59.421,49.864,209,pp-p,191,pp-p,74.122,i-i,12.516,pp-p,1012,30398.147,1743,53552.355,2055,86557.658,1012,30398.147,1582,41365.608,331,8088.567,99.508,96.524,94.356,94.277,99.084,98.604,99.901,62.317,55.093,54.398,36.254,19.274
applique,aplik,"NC,VER",8,5,1.6,6,2,12.43909,2.5,.a.pp.l.i.qu.e,.a.p.l.i.k.°,(a-a.pp-p.l-l.i-i.qu-k.e-°),.a.pp.l.i.que,.a.p.l.i.k,(a-a.pp-p.l-l.i-i.que-k),ique,ik,ique-ik,108,4973,100,100,55.102,71.576,1945,71183,1447,40269,95.231,94.653,70.297,65.105,209,pp-p,155,que-k,74.122,i-i,12.516,pp-p,1012,30398.147,1924,57080.878,2962,168375.764,1012,30398.147,2023,53093.391,155,11664.766,99.508,96.524,92.969,92.849,100,100,99.901,62.317,67.459,67.248,49.206,61.462
appliqué,aplike,"VER,ADJ",8,6,1.33,6,3,3.10977,2.9,.a.pp.l.i.qu.é,.a.p.l.i.k.e,(a-a.pp-p.l-l.i-i.qu-k.é-e),.a.pp.l.i.qu.é,.a.p.l.i.k.e,(a-a.pp-p.l-l.i-i.qu-k.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,1569,45286,1341,34809,95.231,94.653,57.825,51.073,209,pp-p,191,pp-p,74.122,i-i,12.516,pp-p,1012,30398.147,1924,57080.878,704,12995.844,1012,30398.147,1582,41365.608,704,12995.844,99.508,96.524,92.969,92.849,100,100,99.901,62.317,55.093,54.398,26.677,26.53
appliquée,aplike,"VER,ADJ",9,6,1.5,7,3,3.10977,3.05,.a.pp.l.i.qu.é.e,.a.p.l.i.k.e.#,(a-a.pp-p.l-l.i-i.qu-k.é-e.e-#),.a.pp.l.i.qu.ée,.a.p.l.i.k.e,(a-a.pp-p.l-l.i-i.qu-k.ée-e),ée,e,ée-e,303,4428,100,100,13.698,7.787,1721,46803,1280,33439,83.976,81.694,55.513,48.274,209,pp-p,191,pp-p,16.592,e-#,12.516,pp-p,1012,30398.147,2089,56673.372,591,13854.118,1012,30398.147,1582,41365.608,338,4770.442,99.508,96.524,94.346,94.094,16.592,4.866,99.901,62.317,55.093,54.398,12.808,9.738
appliquer,aplike,VER,9,6,1.5,6,3,15.54886,2.9,.a.pp.l.i.qu.er,.a.p.l.i.k.e,(a-a.pp-p.l-l.i-i.qu-k.er-e),.a.pp.l.i.qu.er,.a.p.l.i.k.e,(a-a.pp-p.l-l.i-i.qu-k.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,1585,46397,1358,35920,94.986,93.817,58.463,53.34,209,pp-p,191,pp-p,74.122,i-i,12.516,pp-p,1012,30398.147,1924,57080.878,805,19660.067,1012,30398.147,1582,41365.608,805,19660.067,99.508,96.524,92.969,92.849,98.531,94.982,99.901,62.317,55.093,54.398,30.504,40.134
appliquera,aplikRA,VER,10,7,1.43,8,3,3.10977,3.45,.a.pp.l.i.qu.e.r.a,.a.p.l.i.k.°.R.A,(a-a.pp-p.l-l.i-i.qu-k.e-°.r-R.a-A),.a.pp.l.i.qu.e.r.a,.a.p.l.i.k.°.R.A,(a-a.pp-p.l-l.i-i.qu-k.e-°.r-R.a-A),a,A,a-A,211,4027,92.952,10.64,66.144,29.075,2174,64998,1658,43621,95.407,84.846,73.002,63.435,209,pp-p,191,pp-p,74.122,i-i,12.516,pp-p,1012,30398.147,2693,80910.382,227,4123.597,1012,30398.147,2004,52407.171,227,4123.597,99.508,96.524,95.307,95.232,91.903,10.857,99.901,62.317,69.425,68.911,67.56,31.7
apporta,apORtA,VER,7,6,1.17,6,3,3.10977,2.4,.a.pp.o.r.t.a,.a.p.O.R.t.A,(a-a.pp-p.o-O.r-R.t-t.a-A),.a.pp.o.r.t.a,.a.p.O.R.t.A,(a-a.pp-p.o-O.r-R.t-t.a-A),a,A,a-A,211,4027,92.952,10.64,66.144,29.075,2294,68590,1982,54110,94.115,78.66,78.175,65.727,209,pp-p,191,pp-p,83.919,t-t,12.516,pp-p,1012,30398.147,3132,94255.248,227,4123.597,1012,30398.147,2664,72534.996,227,4123.597,99.508,96.524,93.32,91.145,91.903,10.857,99.901,62.317,75.398,75.086,67.56,31.7
apporte,apORt,VER,7,5,1.4,6,2,37.31726,1.75,.a.pp.o.r.t.e,.a.p.O.R.t.°,(a-a.pp-p.o-O.r-R.t-t.e-°),.a.pp.o.r.te,.a.p.O.R.t,(a-a.pp-p.o-O.r-R.te-t),orte,ORt,orte-ORt,13,765,100,100,48.148,60.891,2750,95966,1788,51051,95.465,93.517,69.94,65.155,209,pp-p,191,pp-p,83.919,t-t,12.516,pp-p,1012,30398.147,3132,94255.248,2962,168375.764,1012,30398.147,2524,68673.421,358,18839.025,99.508,96.524,93.32,91.145,100,100,99.901,62.317,69.228,68.222,42.118,58.793
apporté,apORte,VER,7,6,1.17,6,3,18.65863,2.15,.a.pp.o.r.t.é,.a.p.O.R.t.e,(a-a.pp-p.o-O.r-R.t-t.é-e),.a.pp.o.r.t.é,.a.p.O.R.t.e,(a-a.pp-p.o-O.r-R.t-t.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,2374,70069,2062,55589,95.465,93.517,71.362,64.865,209,pp-p,191,pp-p,83.919,t-t,12.516,pp-p,1012,30398.147,3132,94255.248,704,12995.844,1012,30398.147,2664,72534.996,704,12995.844,99.508,96.524,93.32,91.145,100,100,99.901,62.317,75.398,75.086,26.677,26.53
apportées,apORte,VER,9,6,1.5,8,3,6.21954,2.55,.a.pp.o.r.t.é.e.s,.a.p.O.R.t.e.#.#,(a-a.pp-p.o-O.r-R.t-t.é-e.e-#.s-#),.a.pp.o.r.t.ées,.a.p.O.R.t.e,(a-a.pp-p.o-O.r-R.t-t.ées-e),ées,e,ées-e,207,2590,100,100,9.358,4.555,2581,84764,1983,53902,84.983,82.483,68.374,61.421,209,pp-p,191,pp-p,8.14,e-#,8.753,ées-e,1012,30398.147,2606,72892.87,4002,210357.889,1012,30398.147,2664,72534.996,231,2873.463,99.508,96.524,80.213,77.77,99.084,96.724,99.901,62.317,75.398,75.086,8.753,5.866
apportent,apORt,VER,9,5,1.8,7,2,46.64658,2.5,.a.pp.o.r.t.en.t,.a.p.O.R.t.#.#,(a-a.pp-p.o-O.r-R.t-t.en-#.t-#),.a.pp.o.r.tent,.a.p.O.R.t,(a-a.pp-p.o-O.r-R.tent-t),ortent,ORt,ortent-ORt,9,277,100,100,33.333,22.03,2320,72442,1735,47589,86.734,83.952,63.658,54.35,209,pp-p,91,tent-t,35.269,en-#,10.706,tent-t,1012,30398.147,2635,78027.616,2055,86557.658,1012,30398.147,2524,68673.421,91,1526.903,99.508,96.524,81.71,78.507,99.084,98.604,99.901,62.317,69.228,68.222,10.706,4.765
apporter,apORte,VER,8,6,1.33,6,3,31.09772,1.9,.a.pp.o.r.t.er,.a.p.O.R.t.e,(a-a.pp-p.o-O.r-R.t-t.er-e),.a.pp.o.r.t.er,.a.p.O.R.t.e,(a-a.pp-p.o-O.r-R.t-t.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,2391,71180,2079,56700,95.22,92.681,71.999,67.133,209,pp-p,191,pp-p,83.919,t-t,12.516,pp-p,1012,30398.147,3132,94255.248,805,19660.067,1012,30398.147,2664,72534.996,805,19660.067,99.508,96.524,93.32,91.145,98.531,94.982,99.901,62.317,75.398,75.086,30.504,40.134
apportera,apORtRA,VER,9,7,1.29,8,3,3.10977,2.5,.a.pp.o.r.t.e.r.a,.a.p.O.R.t.°.R.A,(a-a.pp-p.o-O.r-R.t-t.e-°.r-R.a-A),.a.pp.o.r.t.e.r.a,.a.p.O.R.t.°.R.A,(a-a.pp-p.o-O.r-R.t-t.e-°.r-R.a-A),a,A,a-A,211,4027,92.952,10.64,66.144,29.075,2778,83585,2199,59205,95.582,83.994,83.154,73.78,209,pp-p,191,pp-p,83.919,t-t,12.516,pp-p,1012,30398.147,3498,105693.295,227,4123.597,1012,30398.147,2725,73186.764,227,4123.597,99.508,96.524,95.541,94.096,91.903,10.857,99.901,62.317,82.962,82.703,67.56,31.7
apporterai,apORtRE,VER,10,7,1.43,8,3,3.10977,3.4,.a.pp.o.r.t.e.r.ai,.a.p.O.R.t.°.R.E,(a-a.pp-p.o-O.r-R.t-t.e-°.r-R.ai-E),.a.pp.o.r.t.e.r.ai,.a.p.O.R.t.°.R.E,(a-a.pp-p.o-O.r-R.t-t.e-°.r-R.ai-E),ai,E,ai-E,33,2068,100,100,4.846,2.269,2754,83136,2175,58756,96.595,95.137,75.263,69.905,32,ai-E,32,ai-E,83.919,t-t,4.432,ai-E,1012,30398.147,3498,105693.295,32,528.668,1012,30398.147,2725,73186.764,32,528.668,99.508,96.524,95.541,94.096,100,100,99.901,62.317,82.962,82.703,4.432,0.702
apportes,apORt,VER,8,5,1.6,7,2,3.10977,2.1,.a.pp.o.r.t.e.s,.a.p.O.R.t.°.#,(a-a.pp-p.o-O.r-R.t-t.e-°.s-#),.a.pp.o.r.tes,.a.p.O.R.t,(a-a.pp-p.o-O.r-R.tes-t),ortes,ORt,ortes-ORt,5,215,100,100,18.519,17.079,2825,96639,1759,48437,95.982,93.975,66.529,56.995,209,pp-p,191,pp-p,83.919,t-t,12.516,pp-p,1012,30398.147,2953,87143.021,4002,210357.889,1012,30398.147,2524,68673.421,213,5765.551,99.508,96.524,94.656,92.916,99.084,96.724,99.901,62.317,69.228,68.222,25.059,17.993
